x,y,z,pd
-7.000000,12.000000,0.000000,2.411018
-7.000000,12.500000,0.000000,3.061330
-7.000000,13.000000,0.000000,0.260000
-6.500000,-14.500000,0.000000,0.260000
-6.500000,-14.000000,0.000000,3.067747
-6.500000,-13.500000,0.000000,1.570438
-6.500000,-13.000000,0.000000,1.281783
-6.500000,-12.500000,0.000000,1.480773
-6.500000,-12.000000,0.000000,1.533122
-6.500000,-11.500000,0.000000,1.321089
-6.500000,-11.000000,0.000000,0.846989
-6.500000,-10.500000,0.000000,0.878283
-6.500000,-10.000000,0.000000,1.264504
-6.500000,-9.500000,0.000000,1.384563
-6.500000,-9.000000,0.000000,0.894968
-6.500000,-8.500000,0.000000,0.847659
-6.500000,-8.000000,0.000000,0.850748
-6.500000,-7.500000,0.000000,0.850261
-6.500000,-7.000000,0.000000,0.848411
-6.500000,-6.500000,0.000000,0.850340
-6.500000,-6.000000,0.000000,0.854145
-6.500000,-5.500000,0.000000,0.851473
-6.500000,-5.000000,0.000000,0.853699
-6.500000,-4.500000,0.000000,0.851133
-6.500000,-4.000000,0.000000,0.853966
-6.500000,-3.500000,0.000000,0.854660
-6.500000,-3.000000,0.000000,1.169248
-6.500000,-2.500000,0.000000,2.238070
-6.500000,-2.000000,0.000000,2.661421
-6.500000,-1.500000,0.000000,1.952140
-6.500000,-1.000000,0.000000,1.432483
-6.500000,-0.500000,0.000000,1.385769
-6.500000,0.000000,0.000000,1.591590
-6.500000,0.500000,0.000000,1.575050
-6.500000,1.000000,0.000000,1.524251
-6.500000,1.500000,0.000000,1.480429
-6.500000,2.000000,0.000000,1.520313
-6.500000,2.500000,0.000000,1.601241
-6.500000,3.000000,0.000000,2.193103
-6.500000,3.500000,0.000000,1.849972
-6.500000,4.000000,0.000000,1.610133
-6.500000,4.500000,0.000000,2.392744
-6.500000,5.000000,0.000000,2.100272
-6.500000,5.500000,0.000000,1.193715
-6.500000,6.000000,0.000000,1.072955
-6.500000,6.500000,0.000000,1.018477
-6.500000,7.000000,0.000000,1.001497
-6.500000,7.500000,0.000000,1.107079
-6.500000,8.000000,0.000000,1.011621
-6.500000,8.500000,0.000000,0.885854
-6.500000,9.000000,0.000000,0.876686
-6.500000,9.500000,0.000000,1.155589
-6.500000,10.000000,0.000000,1.726648
-6.500000,10.500000,0.000000,2.416298
-6.500000,11.000000,0.000000,1.610571
-6.500000,11.500000,0.000000,1.399166
-6.500000,12.000000,0.000000,1.886506
-6.500000,12.500000,0.000000,3.862619
-6.500000,13.000000,0.000000,2.860000
-6.000000,-14.500000,0.000000,2.839771
-6.000000,-14.000000,0.000000,3.076747
-6.000000,-13.500000,0.000000,2.210301
-6.000000,-13.000000,0.000000,1.660425
-6.000000,-12.500000,0.000000,1.901068
-6.000000,-12.000000,0.000000,1.695622
-6.000000,-11.500000,0.000000,1.164398
-6.000000,-11.000000,0.000000,0.845761
-6.000000,-10.500000,0.000000,0.847403
-6.000000,-10.000000,0.000000,0.916004
-6.000000,-9.500000,0.000000,1.061391
-6.000000,-9.000000,0.000000,0.874710
-6.000000,-8.500000,0.000000,0.848470
-6.000000,-8.000000,0.000000,0.847140
-6.000000,-7.500000,0.000000,0.846829
-6.000000,-7.000000,0.000000,0.845506
-6.000000,-6.500000,0.000000,0.845306
-6.000000,-6.000000,0.000000,0.845169
-6.000000,-5.500000,0.000000,0.845799
-6.000000,-5.000000,0.000000,0.847061
-6.000000,-4.500000,0.000000,0.846387
-6.000000,-4.000000,0.000000,0.845832
-6.000000,-3.500000,0.000000,0.850971
-6.000000,-3.000000,0.000000,1.165655
-6.000000,-2.500000,0.000000,1.559205
-6.000000,-2.000000,0.000000,1.414911
-6.000000,-1.500000,0.000000,1.353648
-6.000000,-1.000000,0.000000,1.222485
-6.000000,-0.500000,0.000000,1.306217
-6.000000,0.000000,0.000000,1.266607
-6.000000,0.500000,0.000000,1.172824
-6.000000,1.000000,0.000000,1.235195
-6.000000,1.500000,0.000000,1.308389
-6.000000,2.000000,0.000000,1.367312
-6.000000,2.500000,0.000000,1.476306
-6.000000,3.000000,0.000000,1.682726
